"Title: Hospital Emergency Room Visits per 1,000 Population by Ownership Type | The Henry J. Kaiser Family Foundation"
"Timeframe: 1999 - 2015"
"Location","1999__State/Local Government","1999__Non-Profit","1999__For-Profit","1999__Total","2000__State/Local Government","2000__Non-Profit","2000__For-Profit","2000__Total","2001__State/Local Government","2001__Non-Profit","2001__For-Profit","2001__Total","2002__State/Local Government","2002__Non-Profit","2002__For-Profit","2002__Total","2003__State/Local Government","2003__Non-Profit","2003__For-Profit","2003__Total","2004__State/Local Government","2004__Non-Profit","2004__For-Profit","2004__Total","2005__State/Local Government","2005__Non-Profit","2005__For-Profit","2005__Total","2006__State/Local Government","2006__Non-Profit","2006__For-Profit","2006__Total","2007__State/Local Government","2007__Non-Profit","2007__For-Profit","2007__Total","2008__State/Local Government","2008__Non-Profit","2008__For-Profit","2008__Total","2009__State/Local Government","2009__Non-Profit","2009__For-Profit","2009__Total","2010__State/Local Government","2010__Non-Profit","2010__For-Profit","2010__Total","2011__State/Local Government","2011__Non-Profit","2011__For-Profit","2011__Total","2012__State/Local Government","2012__Non-Profit","2012__For-Profit","2012__Total","2013__State/Local Government","2013__Non-Profit","2013__For-Profit","2013__Total","2014__State/Local Government","2014__Non-Profit","2014__For-Profit","2014__Total","2015__State/Local Government","2015__Non-Profit","2015__For-Profit","2015__Total"
"United States","63.5711","259.7544","41.4997","364.8251","60.207","260.4629","44.8587","365.5286","60.5957","266.5835","44.4802","371.6593","63.1279","271.7844","46.8991","381.8114","62.9637","270.2116","48.7851","381.9604","61.9468","272.3036","49.2038","383.4543","61.7869","274.3231","50.899","387.0089","64.523","279.14","52.562","343.663","65.948","282.3158821","52.27601789","348.2638821","66.8993","284.101798","53.18483184","404.1859096","66.323","293.452","54.868","414.64","64.7854","291.3962781","55.16294862","411.3445771","63.61886435","293.7675041","58.10374819","415.4901166","63","300","61","424","61","300","62","423","61","300","66","428","63","310","67","440"
"Alabama","198.6921","173.5833","78.3739","450.6492","191.7043","171.6075","101.8472","465.1589","184.0759","154.1539","100.5911","438.8209","200.8732","173.9031","107.9344","482.7107","192.2073","168.1041","116.1574","476.4688","182.5027","157.9695","107.3823","447.8544","188.4928","155.9088","114.1347","458.5363","226.9228","118.1015","132.5589","345.0243","237.0290228","128.8740714","120.978398","365.9030942","236.1099946","127.4669351","122.1039863","485.680916","234.55","128.372","122.634","485.56","240.151606","124.4996654","116.9659653","481.6172368","232.1917593","126.7174041","120.1976231","479.1067865","243","133","111","488","234","132","106","472","254","127","103","484","262","102","144","508"
"Alaska","29.6739","196.8329","38.4052","264.912","24.9101","234.4975","38.9244","298.332","32.1129","250.1747","42.6744","324.962","42.7261","312.0851","42.0698","396.881","28.3211","234.7859","66.0409","329.1479","25.4806","297.401","62.3758","385.2574","24.9633","384.7205","82.6291","492.3129","37.3577","774.4822","89.0737","811.8399","38.92883165","335.1592882","107.1958424","374.0881199","38.5075386","365.7242507","72.66412352","476.8959128","35.026","315.294","74.212","424.53","42.49949229","299.8956561","72.98192539","415.3770737","36.43245932","335.4695659","63.51504435","435.4170696","39","296","63","398","38","253","59","350","38","307","67","413","37","333","71","441"
"Arizona","19.0037","213.364","48.1189","280.4866","21.7879","203.1111","69.4221","294.321","16.5004","185.2049","62.846","264.5513","28.7933","197.8249","59.9178","286.536","30.3695","220.7078","68.2486","319.3259","23.8763","221.5731","59.0194","304.4688","25.201","246.5196","72.8007","344.5213","24.5017","242.7665","68.9991","267.2682","23.96574722","237.3761093","73.53384064","261.3418565","19.50617728","252.4134236","62.28920095","334.2088019","31.412","243.065","49.519","324","21.60924279","270.8619016","56.92671839","349.3978627","17.30486299","266.1010017","55.21302117","338.6188859","19","264","69","353","22","225","65","312","22","221","66","309","23","252","62","337"
"Arkansas","44.2597","317.7093","58.7613","420.7303","41.0242","329.1912","66.6548","436.8702","42.168","318.9662","67.1635","428.2977","42.0527","326.2633","83.9869","452.303","43.2855","328.9778","86.4958","458.759","39.7789","322.3276","81.7691","443.8756","45.6536","324.6177","85.0439","455.3152","44.1535","315.5917","91.3577","359.7452","45.28190202","322.2590542","88.9710974","367.5409562","39.48616413","330.6290197","83.66343953","453.7786233","47.114","318.95","102.894","468.96","49.7644104","315.067124","106.3644448","471.1959792","44.88355268","328.4744138","100.1823328","473.5402994","47","320","102","469","41","332","114","486","42","305","109","456","45","348","106","499"
"California","60.9053","176.4959","43.0068","280.408","59.4422","182.2885","43.6936","285.4243","59.5972","193.8826","43.7057","297.1856","65.0057","179.3683","44.5104","288.8844","58.2748","161.6972","41.1562","261.1281","58.8437","180.4983","40.6408","279.9828","56.6438","167.8272","37.8494","262.3204","63.4039","179.9761","40.1071","243.38","56.85658567","181.9847037","34.89709455","238.8412894","60.6177559","177.683217","36.94536067","275.2463336","59.336","188.751","37.461","285.55","60.07135918","194.5355802","38.44373464","293.050674","59.2026846","191.9533983","42.68989121","293.8459741","58","214","39","312","60","214","41","315","61","227","39","327","64","243","44","351"
"Colorado","60.9632","213.7437","51.8366","326.5435","62.6009","204.5908","51.0822","318.2738","47.5735","216.8892","47.3021","311.7649","79.3626","203.8171","50.3009","333.4806","59.8681","193.0807","51.505","304.4538","55.9752","182.9976","53.4371","292.4099","60.4066","200.5503","61.1896","322.1465","60.252","190.616","63.0819","250.868","62.51405169","196.4749672","59.49585674","258.9890189","69.95726426","198.9016482","59.60836949","328.467282","72.778","208.278","62.328","343.38","71.09525693","202.4962612","58.61870431","332.2102224","68.31692109","213.1400766","56.83186802","338.2888657","45","245","61","350","47","257","53","356","51","249","57","357","51","256","71","378"
"Connecticut","45.5377","364.2135","N/A","409.7512","5.9395","373.7956","8.3353","388.0703","5.2197","381.8543","N/A","387.074","6.1146","396.4411","N/A","402.5557","6.2263","382.3439","4.9","393.4702","7.6365","395.6174","2.3456","405.5995","7.8693","404.1671","2.8554","414.8918","8.4116","406.6806","3.4513","415.0922","8.543506584","405.5236131","3.367492703","414.0671197","8.645329113","422.9345588","3.639808024","435.219696","8.165","444.896","3.886","456.95","8.073360538","452.6371142","3.660255186","464.3707299","8.288080716","445.7881678","4.081448299","458.1576969","8","445","4","458","8","439","5","452","8","429","4","441","9","451","4","464"
"Delaware","N/A","378.5821","N/A","378.5821","N/A","363.9777","N/A","363.9777","N/A","337.5127","N/A","337.5127","N/A","379.2244","N/A","379.2244","N/A","367.2238","N/A","367.2238","N/A","392.3674","N/A","392.3674","N/A","392.7218","N/A","392.7218","N/A","449.0605","N/A","449.0605","N/A","397.4645105","N/A","397.4645105","N/A","410.7868995","4.614185396","415.4010849","N/A","438.849","4.773","443.62","N/A","447.5659864","4.385570074","451.9515565","N/A","459.9405156","N/A","459.9405156","N/A","477","N/A","477","N/A","477","0","477","N/A","482","0","482","0","491","0","491"
"District of Columbia","101.0482","402.9981","132.0674","636.1137","N/A","371.803","125.3209","497.1239","N/A","402.3809","187.5292","589.9102","N/A","460.7129","159.4007","620.1136","N/A","441.1875","203.7391","644.9267","N/A","497.5146","177.7121","675.2268","N/A","414.1576","201.1927","615.3503","N/A","502.8448","174.1335","502.8448","N/A","518.0267622","266.3881202","518.0267622","N/A","484.962903","255.4832106","740.4461135","N/A","507.132","255.458","762.59","83.39606222","495.1253447","133.919428","712.4408349","74.3788569","523.8829117","137.6643727","735.9261413","80","592","116","788","81","552","113","746","N/A","634","121","755","0","626","115","741"
"Florida","60.2286","181.7517","121.2332","363.2136","56.3874","186.8209","133.2635","376.4718","59.2869","181.2014","119.0059","359.4941","60.0615","195.2037","141.5457","396.8108","65.1578","190.5113","136.5959","392.265","65.7141","193.5446","130.844","390.1027","62.4911","197.7184","127.8796","388.0891","74.3485","189.6313","132.8101","263.9798","74.11774639","185.1850858","128.9408617","259.3028322","81.14339446","185.9289885","121.6138644","388.6862473","83.523","195.13","124.693","403.35","85.18278567","192.0637577","123.9487127","401.1952561","81.70556509","189.819425","125.7401769","397.265167","76","217","128","421","75","220","137","431","76","224","155","456","79","234","135","448"
"Georgia","111.4308","187.9672","67.0693","366.4674","112.264","204.3321","63.506","380.102","102.6631","213.1414","59.3226","375.1271","98.0821","220.0419","59.6494","377.7734","112.75","231.7389","63.7722","408.2611","112.2259","213.1771","66.2427","391.6457","111.7072","227.1646","64.5075","403.3793","102.9417","218.6558","66.9083","321.5975","100.7869247","218.847534","72.9931114","319.6344587","103.2495078","220.5038896","72.54565399","396.2990514","83.822","253.935","77.517","415.27","77.14154838","267.0104268","77.56378398","421.7157591","80.18763898","259.4525736","71.615069","411.2552816","71","274","74","419","60","285","77","422","58","283","66","408","68","299","63","430"
"Hawaii","41.1068","150.9536","10.0152","202.0756","49.2121","148.9232","10.9243","209.0596","41.8036","178.232","14.2567","234.2923","31.1801","220.067","N/A","251.2471","30.1805","234.11","N/A","264.2904","47.9565","210.2139","N/A","258.1704","38.7056","225.5595","N/A","264.2651","53.7096","212.0918","N/A","265.8014","48.67974455","215.4679645","N/A","264.1477091","57.15579492","223.2895087","N/A","280.4453037","45.151","251.162","N/A","296.31","44.52996837","223.8019215","N/A","268.3318899","46.92231279","218.8554192","N/A","265.777732","47","241","N/A","287","43","243","N/A","286","53","252","N/A","305","66","276","0","342"
"Idaho","135.4526","152.5294","43.0782","331.0602","131.698","139.518","43.5169","314.7329","138.1403","128.9933","44.325","311.4586","131.5113","157.4776","42.4026","331.3916","142.4924","155.0876","45.3654","342.9454","135.7649","168.9623","39.1337","343.8608","137.3615","177.3911","42.0235","356.7761","111.7217","196.4105","41.2008","308.1322","107.0913604","200.2658393","40.36942728","307.3571997","105.7927105","195.7098696","39.53765157","341.0402316","77.753","193.67","61.284","332.71","72.88046072","192.7340991","46.01991791","311.6344777","55.05119514","203.6295007","68.38920937","327.0699052","73","207","60","340","64","217","86","366","69","212","103","384","74","229","106","409"
"Illinois","35.6186","319.1735","9.7175","364.5097","30.4333","319.9081","11.2535","361.5949","33.0874","322.4004","10.6021","366.0898","30.008","331.1161","12.2401","373.3641","33.4756","330.277","21.0234","384.7761","35.7539","332.6132","20.8431","389.2102","36.214","342.9581","14.1915","393.3635","34.2825","342.1107","21.1282","376.3932","31.18494481","342.0730271","21.08702492","373.2579719","32.0733065","341.1927661","25.63678107","398.9028537","33.241","355.654","22.615","411.51","31.1088403","350.3382266","36.36346365","417.8105305","28.09097718","354.8002325","38.1872061","421.0784158","27","355","38","421","26","350","31","408","30","345","34","409","31","366","36","433"
"Indiana","109.806","230.035","16.9426","356.7835","115.2227","225.5372","18.3363","359.0962","124.0096","245.5068","19.8174","389.3338","118.4025","254.4377","23.0185","395.8588","115.9022","261.7046","24.4528","402.0596","126.4756","270.2945","24.8088","421.579","101.3348","268.4433","44.2321","414.0102","128.7965","267.673","32.672","396.4695","165.7071884","265.2895715","54.42005872","430.9967599","137.6550508","294.9771215","43.41868873","476.050861","131.459","293.415","42.924","467.8","130.0753811","308.4714082","52.18684006","490.7336293","107.0245888","330.6949455","44.90824852","482.6277827","106","338","46","491","100","330","47","476","101","324","70","494","92","344","72","508"
"Iowa","103.6574","262.8572","N/A","366.5147","101.2794","257.4712","N/A","358.7505","103.1503","256.1157","3.3609","362.627","105.7455","259.5056","N/A","365.2512","102.1653","260.2672","N/A","362.4326","102.7013","258.238","N/A","360.9393","104.3478","272.7299","N/A","377.0777","105.2306","272.435","N/A","377.6656","108.4340736","281.5549024","N/A","389.988976","116.8512088","292.8259208","0","409.6771295","118.103","291.071","0","409.17","115.2113048","277.4362164","8.440323776","401.087845","118.9162745","288.764357","8.097654872","415.7782864","122","292","7","422","122","289","6","418","118","291","6","415","124","307","6","437"
"Kansas","75.4639","246.8576","24.7199","347.0414","81.2971","225.3284","23.6782","330.3037","80.4643","230.3369","25.0991","335.9003","83.8301","238.6431","24.3144","346.7877","82.9137","223.9948","39.9841","346.8926","79.9847","220.726","40.8838","341.5946","84.0322","221.8558","43.3255","349.2136","82.7958","226.0295","44.1593","308.8253","87.20218358","226.812565","47.36208288","314.0147486","91.18584387","228.938201","47.61571116","367.739756","90.398","230.75","48.665","369.81","89.67325821","218.840859","48.06536445","356.5794817","88.49680844","225.4313531","48.82235351","362.7505151","88","242","56","386","90","229","70","390","92","233","79","404","93","234","90","417"
"Kentucky","43.723","402.8658","55.899","502.4877","47.7519","376.8208","57.9916","482.5644","51.8774","382.5873","53.6395","488.1043","53.9522","402.8031","59.051","515.8063","51.4534","405.342","62.2434","519.0388","46.222","429.4551","69.3171","544.9942","51.0911","415.5382","69.7724","536.4017","49.5231","400.4572","71.3654","449.9803","47.60892086","426.2805808","69.56449574","473.8895017","53.56616046","421.9372933","70.07202308","545.5754768","45.427","425.792","66.903","538.12","45.25424813","431.8697935","72.00778783","549.1318295","51.56894706","410.2379904","76.42688697","538.2338245","55","417","77","549","53","398","68","519","55","403","71","528","58","433","74","565"
"Louisiana","261.475","138.683","98.948","499.106","245.2446","142.0587","92.3885","479.6917","246.0958","141.2684","120.3585","507.7227","257.3781","162.0165","132.1527","551.5474","249.2413","164.9113","141.9492","556.1018","233.7439","156.6218","157.461","547.8266","184.9656","161.9466","129.556","476.4682","210.0305","172.8702","111.2826","382.9007","221.1523142","179.3923606","110.6038753","400.5446748","225.1823144","192.8672341","117.0244813","535.0740299","237.047","200.408","108.065","545.52","226.7923176","226.4151359","100.0231502","553.2306037","224.2787937","213.5167132","97.03053664","534.8260436","209","243","99","552","179","281","100","559","173","319","97","589","179","319","75","573"
"Maine","25.5227","437.1943","N/A","462.7171","28.8261","498.7426","0","527.5687","29.5137","515.7614","0","545.2751","25.4337","522.1717","0","547.6054","25.9234","516.544","0","542.4674","22.9759","518.1481","0","541.124","24.9465","527.8451","0","552.7916","24.5667","551.659","0","576.2257","24.16704436","521.1094384","0","545.2764828","25.2490924","566.4606336","0","591.709726","24.743","576.479","0","601.22","23.90990436","571.3466816","0","595.2565859","24.12867018","552.0517198","N/A","576.18039","23","572","N/A","595","21","578","0","599","20","560","0","580","22","704","0","726"
"Maryland","N/A","314.2456","8.2164","322.4619","N/A","323.7502","8.6849","332.435","N/A","334.9758","9.5221","344.4979","N/A","347.089","9.5031","356.5921","0","367.4115","9.8666","377.2781","N/A","379.3642","9.4272","388.7914","N/A","376.9415","9.4923","386.4338","N/A","400.0047","10.4155","400.0047","N/A","395.373441","11.40425008","395.373441","N/A","391.4126237","11.93711226","403.3497359","N/A","414.815","11.492","426.31","N/A","414.6497518","10.6329401","425.2826919","N/A","412.3223414","10.5917009","422.9140423","N/A","423","11","434","N/A","429","0","429","N/A","392","0","392","0","412","0","412"
"Massachusetts","19.2955","403.4252","18.743","441.4637","11.5643","389.1208","26.19","426.8751","10.6894","402.4621","11.5157","424.6673","16.6548","413.3772","18.8455","448.8776","26.5347","407.9513","21.8253","456.3112","13.6327","413.0122","22.0463","448.6912","13.5139","413.9941","18.0109","445.519","14.0371","443.089","30.761","457.1261","15.00785689","447.7804196","31.36568753","462.7882765","15.19180206","439.009902","22.53623582","476.7379399","14.82","434.785","23.057","472.66","14.74885676","437.6321247","28.50476739","480.8857488","14.50854495","417.9866424","35.61735934","468.1125466","14","387","75","476","14","379","88","481","14","373","85","472","15","377","86","478"
"Michigan","28.5099","328.4638","0.7491","357.7228","28.1745","343.8208","0","371.9953","29.5861","345.6127","0","375.1987","30.2349","369.2495","1.7125","401.1969","28.0694","364.9608","2.7219","395.7521","28.9155","380.7394","1.5746","411.2294","29.1497","382.9562","1.4496","413.5555","28.8121","397.8926","1.604","426.7047","28.62074012","415.054992","0","443.6757321","26.80943517","412.6862062","3.201304156","442.6969455","28.353","424.199","2.684","455.24","27.92740404","429.5260152","3.248469715","460.7018889","28.1922254","406.5552197","38.67132688","473.4187719","29","416","39","484","29","423","41","493","25","416","44","486","26","435","43","504"
"Minnesota","62.7458","223.0462","N/A","285.792","54.0091","240.8984","N/A","294.9075","56.2603","245.9993","N/A","302.2596","60.4387","259.0247","N/A","319.4634","57.426","254.9122","N/A","312.3381","54.41","251.4285","N/A","305.8385","60.0458","274.4967","0.3985","334.941","56.2844","275.7554","N/A","332.0398","57.87840245","274.5202084","N/A","332.3986109","55.80370159","283.1618446","N/A","338.9655462","55.118","300.625","0","355.74","51.1013478","293.9183337","0.000188303","345.0198698","51.08597817","309.5377685","0.00018701","360.6239337","51","301","N/A","353","45","312","N/A","357","45","311","N/A","357","44","314","0","358"
